scholarID,title,author,journal,number,cites,year,cid,pubid
H4x65KoAAAAJ,Likelihood-informed dimension reduction for nonlinear inverse problems,"T Cui, J Martin, YM Marzouk, A Solonen, A Spantini",Inverse Problems,"30 (11), 114015",76,2014,15782106703982610813,WF5omc3nYNoC
H4x65KoAAAAJ,Bayesian calibration of a large‐scale geothermal reservoir model by a new adaptive delayed acceptance Metropolis Hastings algorithm,"T Cui, C Fox, MJ O'sullivan",Water Resources Research,47 (10),76,2011,14736775736675917558,d1gkVwhDpl0C
H4x65KoAAAAJ,Data‐driven model reduction for the Bayesian solution of inverse problems,"T Cui, YM Marzouk, KE Willcox",International Journal for Numerical Methods in Engineering,"102 (5), 966-990",58,2015,"8593986444552508837,12409066536530170987",_OXeSy2IsFwC
H4x65KoAAAAJ,Dimension-independent likelihood-informed MCMC,"T Cui, KJH Law, YM Marzouk",Journal of Computational Physics,"304 (1), 109-137",55,2016,"8941470427203034051,1043936957232643915",9c2xU6iGI7YC
H4x65KoAAAAJ,Optimal low-rank approximations of Bayesian linear inverse problems,"A Spantini, A Solonen, T Cui, J Martin, L Tenorio, Y Marzouk",SIAM Journal on Scientific Computing,"37 (6), A2451–A2487",52,2015,14386056971639165078,_FxGoFyzp5QC
H4x65KoAAAAJ,Multifidelity importance sampling,"B Peherstorfer, T Cui, Y Marzouk, K Willcox",Computer Methods in Applied Mechanics and Engineering,"300, 490-509",30,2016,2437956253788187100,fbc8zXXH2BUC
H4x65KoAAAAJ,Scalable posterior approximations for large-scale Bayesian inverse problems via likelihood-informed parameter and state reduction,"T Cui, YM Marzouk, KE Willcox",Journal of Computational Physics,"315, 363－387",14,2016,10413277737945064897,ZzlSgRqYykMC
H4x65KoAAAAJ,Goal-oriented optimal approximations of Bayesian linear inverse problems,"A Spantini, T Cui, K Willcox, L Tenorio, Y Marzouk",SIAM Journal on Scientific Computing,"39 (5), S167-S196",11,2017,2930865524664539631,6yz0xqPARnAC
H4x65KoAAAAJ,On dimension reduction in Gaussian filters,"A Solonen, T Cui, J Hakkarainen, Y Marzouk",Inverse Problems,"32 (4), 045003",11,2016,13842466333842610710,Ehil0879vHcC
H4x65KoAAAAJ,Bayesian calibration of geothermal reservoir models via Markov Chain Monte Carlo,T Cui,PhD Thesis-University of Auckland,,11,2010,11467210937812489910,u-x6o8ySG0sC
H4x65KoAAAAJ,Adaptive Approximation Error Models for Efficient Uncertainty Quantification with Application to Multiphase Subsurface Fluid Flow,"T Cui, C Fox, MJ O'Sullivan",arXiv preprint arXiv:,:1809.03176,9,2018,"878210709517570219,17144617209680575471,717876347077046917",cK4Rrx0J3m0C
H4x65KoAAAAJ,Uncertainty quantification for stream depletion tests,"T Cui, ND Ward",Journal of Hydrologic Engineering,"18 (12), 1581-1590",8,2012,10129941253556578752,UeHWp8X0CEIC
H4x65KoAAAAJ,Characterization of Parameters for a Spatially Heterogenous Aquifer from Pumping Test Data,"T Cui, N Dudley Ward, J Kaipio",Journal of Hydrologic Engineering,"19 (6), 1203-1213",6,2013,5229066611642433715,W7OEmFMy1HYC
H4x65KoAAAAJ,Using Parallel MCMC Sampling to Calibrate a Computer Model of a Geothermal Reservoir,"T Cui, C Fox, GK Nicholls, MJ O’Sullivan","Report, Univeristy of Auckland, Faculty of Engineering",,5,2011,"7714857879902657974,17877278871486959848",qjMakFHDy7sC
H4x65KoAAAAJ,Bayesian Inverse Problems with  Priors: A Randomize-Then-Optimize Approach,"Z Wang, JM Bardsley, A Solonen, T Cui, YM Marzouk",SIAM Journal on Scientific Computing,"39 (5), S140-S166",4,2017,3571887816787139361,0CzhzZyukY4C
H4x65KoAAAAJ,Bayesian inference for geothermal model calibration,T Cui,University of Auckland,,3,2005,8650507965563456071,u5HHmVD_uO8C
H4x65KoAAAAJ,Certified dimension reduction in nonlinear Bayesian inverse problems,"O Zahm, T Cui, K Law, A Spantini, Y Marzouk",arXiv preprint arXiv:,:1807.03712,2,2018,10696877589810618752,v1_lew4L6wgC
H4x65KoAAAAJ,A Stein variational Newton method,"G Detommaso, T Cui, Y Marzouk, R Scheichl, A Spantini",arXiv preprint arXiv:,:1806.03085,1,2018,2381223671647654052,U4n9YNQMCAIC
H4x65KoAAAAJ,Pragmatic approach to calibrating distributed parameter groundwater models from pumping test data using adaptive delayed acceptance MCMC,"T Cui, ND Ward, S Eveson, T Lähivaara",Journal of Hydrologic Engineering,"21 (2), 06015011",1,2015,7452585740024153535,nZcligLrVowC
H4x65KoAAAAJ,Optimization Methods for Inverse Problems,"N Ye, F Roosta-Khorasani, T Cui",arXiv preprint arXiv:,:1712.00154,0,2017,NA,zCSUwVk65WsC
H4x65KoAAAAJ,Joint Model and Parameter Dimension Reduction for Bayesian Inversion Applied to an Ice Sheet Flow Problem,"O Ghattas, N Petra, T Cui, Y Marzouk, P Benjamin, K Willcox",AGU Fall Meeting Abstracts,,0,2016,NA,ubry08Y2EpUC
H4x65KoAAAAJ,Subspace acceleration for large-scale inverse problems,T Cui,,,0,NA,NA,kVjdVfd2voEC
H4x65KoAAAAJ,A Metropolis-Hastings-within-Gibbs Sampler for Nonlinear Hierarchical-Bayesian Inverse Problems,"JM Bardsley, T Cui",,,0,NA,NA,BzfGm06jWhQC
TJj4w-gAAAAJ,Decomposition of integer matrices and multileaf collimator sequencing,"D Baatar, HW Hamacher, M Ehrgott, GJ Woeginger",Discrete Applied Mathematics,"152 (1-3), 6-34",93,2005,9538989243812759985,u5HHmVD_uO8C
TJj4w-gAAAAJ,Towards objective measures of algorithm performance across instance space,"K Smith-Miles, D Baatar, B Wreford, R Lewis",Computers & Operations Research,"45, 12-24",61,2014,1202070022881547225,qjMakFHDy7sC
TJj4w-gAAAAJ,Reformulations and computational results for uncapacitated single and multiple allocation hub covering problems,"AT Ernst, H Jiang, M Krishnamoorthy, D Baatar, C Judge","Unpublished Report, CSIRO Mathematical and Information Sciences",,60,2005,1505424858972955446,5nxA0vEk-isC
TJj4w-gAAAAJ,Algorithms for large scale shift minimisation personnel task scheduling problems,"M Krishnamoorthy, AT Ernst, D Baatar",European Journal of Operational Research,"219 (1), 34-48",52,2012,8324525078978991731,9yKSN-GCB0IC
TJj4w-gAAAAJ,Advancing equitability in multiobjective programming,"D Baatar, MM Wiecek",Computers & Mathematics with Applications,"52 (1-2), 225-234",43,2006,17530370548728601217,2osOgNQ5qMEC
TJj4w-gAAAAJ,Minimum cardinality matrix decomposition into consecutive-ones matrices: CP and IP approaches,"D Baatar, N Boland, S Brand, PJ Stuckey",International Conference on Integration of Artificial Intelligence (AI) and …,,41,2007,1769487023044692745,WF5omc3nYNoC
TJj4w-gAAAAJ,Minimum cardinality matrix decomposition into consecutive-ones matrices: CP and IP approaches,"D Baatar, N Boland, S Brand, PJ Stuckey",International Conference on Integration of Artificial Intelligence (AI) and …,,41,2007,1769487023044692745,d1gkVwhDpl0C
TJj4w-gAAAAJ,New LP model for multileaf collimators in radiation therapy planning,"D Baatar, H Hamacher",Proceedings of the operations research peripatetic postgraduate programme …,,20,2003,8247782158422120021,UeHWp8X0CEIC
TJj4w-gAAAAJ,"Matrix Decomposition with Times and Cardinality Objectives: Theory, Algorithms and Application to Multileaf Collimator Sequencing",D Baatar,,,11,2005,2856380871464684931,IjCSPb-OGe4C
TJj4w-gAAAAJ,CP and IP approaches to cancer radiotherapy delivery optimization,"D Baatar, N Boland, S Brand, PJ Stuckey",Constraints,"16 (2), 173-194",10,2011,11316397081681891608,_FxGoFyzp5QC
TJj4w-gAAAAJ,CP and IP approaches to cancer radiotherapy delivery optimization,"D Baatar, N Boland, S Brand, PJ Stuckey",Constraints,"16 (2), 173-194",10,2011,11316397081681891608,zYLM7Y9cAGgC
TJj4w-gAAAAJ,Instance spaces for machine learning classification,"MA Munoz, L Villanova, D Baatar, K Smith-Miles",Machine Learning,"107 (1), 109-147",8,2018,6196740612266353941,LkGwnXOMwfcC
TJj4w-gAAAAJ,A new sequential extraction heuristic for optimizing the delivery of cancer radiation treatment using multileaf collimators,"D Baatar, N Boland, R Johnston, HW Hamacher",INFORMS Journal on Computing,"21 (2), 224-241",7,2009,16703192232842505211,Tyk-4Ss8FVUC
TJj4w-gAAAAJ,Exploring the role of graph spectra in graph coloring algorithm performance,"K Smith-Miles, D Baatar",Discrete Applied Mathematics,"176, 107-121",5,2014,7060931217326104450,Y0pCki6q_DkC
TJj4w-gAAAAJ,Special Section: Multileaf Collimators in Radiation Therapy,"HW Hamacher, M Ehrgott, D Baatar, GJ Woeginger, K Engel, T Kalinowski, ...",Discrete Applied Mathematics,152 (1-3),4,2005,6026542461579952490,0EnyYjriUFMC
TJj4w-gAAAAJ,Selecting suitable solution strategies for classes of graph coloring instances using data mining,"N Insani, K Smith-Miles, D Baatar",Information Technology and Electrical Engineering (ICITEE),2013 …,2,2013,4540190098793555039,YsMSGLbcyi4C
TJj4w-gAAAAJ,Reformulations and Computational Results for the Uncapacitated Single Allocation Hub Covering Problem,"AT Ernst, H Jiang, M Krishanmoorthy, D Baatar",Data and Decision Sciences in Action,133-148,1,2018,3026967785696127481,u-x6o8ySG0sC
TJj4w-gAAAAJ,A triplet-based exact method for the shift minimisation personnel task scheduling problem,"D Baatar, M Krishnamoorthy, AT Ernst",Algorithms-Esa,"2015, 59-70",1,2015,295001771306688385,W7OEmFMy1HYC
TJj4w-gAAAAJ,Minimizing the number of apertures in multileaf collimator sequencing with field splitting,"D Baatar, M Ehrgott, HW Hamacher, IM Raschendorfer",Discrete Applied Mathematics,,0,2018,NA,ufrVoPGSRksC
TJj4w-gAAAAJ,Minimizing the Number of Apertures in Multileaf Collimator Sequencing with Field Splitting,"HW Hamacher, IM Raschendorfer, D Baatar, M Ehrgott",,,0,2015,NA,eQOLeE2rZwMC
TJj4w-gAAAAJ,Go to Section,"D Baatar, N Boland, R Johnston, HW Hamacher",INFORMS Journal on Computing,"21 (2), 177-345",0,2009,NA,MXK_kJrjxJIC
TJj4w-gAAAAJ,Go to Section,JN Hooker,Journal of Japan Society for Fuzzy Theory and Intelligent Informatics,20 (4),0,2002,NA,8k81kl-MbHgC
TJj4w-gAAAAJ,Supplementary Material for the paper: Instance Spaces for Machine Learning Classification,"L Villanova, MA Munoz, D Baatar, K Smith-Miles",,,0,NA,NA,hqOjcs7Dif8C
TJj4w-gAAAAJ,Generation techniques for linear and integer programming instances with controllable properties,"S Bowly, K Smith-Miles, D Baatar, H Mittelmann",,,0,NA,NA,Se3iqnhoufwC
TJj4w-gAAAAJ,Supplementary Material for the paper: Instance Spaces for Machine Learning Classification,"MA Munoz, L Villanova, D Baatar, K Smith-Miles",,,0,NA,NA,roLk4NBRz8UC
wwd3vdEAAAAJ,Unmasking multivariate outliers and leverage points,"PJ Rousseeuw, BC Van Zomeren",Journal of the American Statistical association,"85 (411), 633-639",1536,1990,"815034808735335414,1782692197486592994",zDhyt2jClVkC
wwd3vdEAAAAJ,Interactive and dynamic graphics for data analysis: with R and GGobi,"D Cook, DF Swayne, A Buja",Springer Science & Business Media,,538,2007,"17463941247182116439,7317932962633925367,2439202569814362324,6241796214460670509,16550573492320203738,769240687946875429,11222141114902930856,3139029803705572392,8276332892812686708,16271528014671701007",2osOgNQ5qMEC
wwd3vdEAAAAJ,Interactive high-dimensional data visualization,"A Buja, D Cook, DF Swayne",Journal of computational and graphical statistics,"5 (1), 78-99",426,1996,3763470879691612753,u5HHmVD_uO8C
wwd3vdEAAAAJ,XGobi: Interactive dynamic data visualization in the X Window System,"DF Swayne, D Cook, A Buja",Journal of computational and Graphical Statistics,"7 (1), 113-130",340,1998,17153326644303567506,u-x6o8ySG0sC
wwd3vdEAAAAJ,Grand tour and projection pursuit,"D Cook, A Buja, J Cabrera, C Hurley",Journal of Computational and Graphical Statistics,"4 (3), 155-172",271,1995,7429778755469122673,d1gkVwhDpl0C
wwd3vdEAAAAJ,GGobi: evolving from XGobi into an extensible framework for interactive data visualization,"DF Swayne, DT Lang, A Buja, D Cook",Computational Statistics & Data Analysis,"43 (4), 423-444",269,2003,5648977305778040942,9yKSN-GCB0IC
wwd3vdEAAAAJ,Projection pursuit indexes based on orthonormal function expansions,"D Cook, A Buja, J Cabrera",Journal of Computational and Graphical Statistics,"2 (3), 225-250",131,1993,11137470826556675788,UeHWp8X0CEIC
wwd3vdEAAAAJ,ggbio: an R package for extending the grammar of graphics for genomic data,"T Yin, D Cook, M Lawrence",Genome biology,"13 (8), R77",129,2012,9106240774956609443,e5wmG9Sq2KIC
wwd3vdEAAAAJ,XGobi: interactive dynamic graphics in the X window system with a link to S,"DF Swayne, D Cook, A Buja",,,119,1991,5289288093093173185,qjMakFHDy7sC
wwd3vdEAAAAJ,BarleyBase—an expression profiling database for plant genomics,"L Shen, J Gong, RA Caldo, D Nettleton, D Cook, RP Wise, JA Dickerson",Nucleic Acids Research,"33 (suppl_1), D614-D618",108,2005,860238346438602712,LjlpjdlvIbIC
wwd3vdEAAAAJ,Dynamic graphics in a GIS: More examples using linked software,"D Cook, J Symanzik, JJ Majure, N Cressie",Computers & Geosciences,"23 (4), 371-385",91,1997,4421027003597092597,IjCSPb-OGe4C
wwd3vdEAAAAJ,Statistical inference for exploratory data analysis and model diagnostics,"A Buja, D Cook, H Hofmann, M Lawrence, EK Lee, DF Swayne, ...",Philosophical Transactions of the Royal Society of London A: Mathematical …,,81,2009,10347521957724374176,Zph67rFs4hoC
wwd3vdEAAAAJ,Projection pursuit for exploratory supervised classification,"EK Lee, D Cook, S Klinke, T Lumley",Journal of Computational and Graphical Statistics,"14 (4), 831-846",76,2005,15642798490648135666,eQOLeE2rZwMC
wwd3vdEAAAAJ,The benefits of statistical visualization in an immersive environment,"L Arms, D Cook, C Cruz-Neira",Virtual Reality,"1999. Proceedings., IEEE, 88-95",75,1999,15634270624537343415,YsMSGLbcyi4C
wwd3vdEAAAAJ,Dynamic graphics in a GIS: exploring and analyzing multivariate spatial data using linked software,"D Cook, JJ Majure, J Symanzik, N Cressie",,,72,1996,16446283001068339751,zYLM7Y9cAGgC
wwd3vdEAAAAJ,Using graphics and simulation to teach statistical concepts,"MG Marasinghe, WQ Meeker, D Cook, T Shin",The American Statistician,"50 (4), 342-351",70,1996,3962794773754582135,Y0pCki6q_DkC
wwd3vdEAAAAJ,MetNet: software to build and model the biogenetic lattice of Arabidopsis,"ES Wurtele, J Li, L Diao, H Zhang, CM Foster, B Fatland, J Dickerson, ...",International Journal of Genomics,"4 (2), 239-245",67,2003,15666870085465130400,Tyk-4Ss8FVUC
wwd3vdEAAAAJ,Manual controls for high-dimensional data projections,"D Cook, A Buja",Journal of computational and Graphical Statistics,"6 (4), 464-480",64,1997,14372242683816179747,W7OEmFMy1HYC
wwd3vdEAAAAJ,Graphical inference for infovis,"H Wickham, D Cook, H Hofmann, A Buja",IEEE Transactions on Visualization and Computer Graphics,"16 (6), 973-979",60,2010,905284134464404381,YOwf2qJgpHMC
wwd3vdEAAAAJ,The determinants of student mobility in Europe: the quality dimension,"L Van Bouwel, R Veugelers",European Journal of Higher Education,"3 (2), 172-190",58,2013,"8740604252288049775,13531201242415189870",ae0xyBWlIcIC
wwd3vdEAAAAJ,Linking ArcView™ and XGobi: Insight behind the Front End,"J Symanzik, D Cook, N Lewin-Koh, JJ Majure, I Megretskaia",Journal of Computational and Graphical Statistics,"9 (3), 470-490",57,2e3,8596124552715871932,WF5omc3nYNoC
wwd3vdEAAAAJ,The generalized pairs plot,"JW Emerson, WA Green, B Schloerke, J Crowley, D Cook, H Hofmann, ...",Journal of Computational and Graphical Statistics,"22 (1), 79-91",51,2013,3494148837884631787,NaGl4SEjCO4C
wwd3vdEAAAAJ,tourr: An R package for exploring multivariate data with projections,"H Wickham, D Cook, H Hofmann, A Buja",Journal of Statistical Software,"40 (2), 1-18",49,2011,3323201582835043347,r0BpntZqJG4C
wwd3vdEAAAAJ,Ggally: Extension to ggplot2,"B Schloerke, J Crowley, D Cook, H Hofmann, H Wickham, F Briatte, ...",,,48,2011,11722625074738026601,Sg-YnEhjH50C
wwd3vdEAAAAJ,Population structure and linkage disequilibrium in oat (Avena sativa L.): implications for genome-wide association studies,"MA Newell, D Cook, NA Tinker, JL Jannink",Theoretical and applied genetics,"122 (3), 623-632",47,2011,12670585872050379490,4TOpqqG69KYC
wwd3vdEAAAAJ,Gaining insights into support vector machine pattern classifiers using projection-based tour methods,"D Caragea, D Cook, VG Honavar",Proceedings of the seventh ACM SIGKDD international conference on Knowledge …,,47,2001,4642981708871184064,8k81kl-MbHgC
wwd3vdEAAAAJ,Dynamic graphics in a GIS: A bidirectional link between ArcView 2.0 and XGobi,"J Symanzik, JJ Majure, D Cook",,,45,1996,12828658850852277639,ufrVoPGSRksC
wwd3vdEAAAAJ,Orca: A visualization toolkit for high-dimensional data,"P Sutherland, A Rossini, T Lumley, N Lewin-Koh, J Dickerson, Z Cox, ...",Journal of Computational and Graphical Statistics,"9 (3), 509-529",39,2e3,14666825986355703973,LkGwnXOMwfcC
wwd3vdEAAAAJ,Visualization of data,"RD Meyer, D Cook",Current Opinion in Biotechnology,"11 (1), 89-96",39,2e3,5409742041828453842,_FxGoFyzp5QC
wwd3vdEAAAAJ,Metnet: Systems biology tools for arabidopsis,"ES Wurtele, L Li, D Berleant, D Cook, JA Dickerson, J Ding, H Hofmann, ...",Concepts in plant metabolomics,145-157,35,2007,11021174715439550743,roLk4NBRz8UC
wwd3vdEAAAAJ,"Validation of visual statistical inference, applied to linear models","M Majumder, H Hofmann, D Cook",Journal of the American Statistical Association,"108 (503), 942-956",33,2013,3201506009084463478,hMod-77fHWUC
wwd3vdEAAAAJ,Interactive visualization of hierarchical clusters using MDS and MST,"SS Kim, S Kwon, D Cook",Metrika,"51 (1), 39-51",33,2e3,277047194007874346,4DMP91E08xMC
wwd3vdEAAAAJ,Computational methods for high-dimensional rotations in data visualization,"A Buja, D Cook, D Asimov, C Hurley",Handbook of statistics,"24, 391-413",32,2005,12949302741705074832,kNdYIx-mwKoC
wwd3vdEAAAAJ,Xgobi vs the c2: Results of an experiment comparing data visualization in a 3-d immersive virtual reality environment with a 2-d workstation display,"L Nelson, D Cook, C Cruz-Neira",Computational Statistics,"14 (1), 39-52",31,1999,17130224257293030118,KlAtU1dfN6UC
wwd3vdEAAAAJ,Dynamic projections in high-dimensional visualization: Theory and computational methods,"A Buja, D Cook, D Asimov, C Hurley",Journal of Computational and Graphical Statistics,,29,1997,3695762799937224467,UebtZRa9Y70C
wwd3vdEAAAAJ,Identification of candidate genes involved in early iron deficiency chlorosis signaling in soybean (Glycine max) roots and leaves,"ANM Lauter, GA Peiffer, T Yin, SA Whitham, D Cook, RC Shoemaker, ...",BMC genomics,"15 (1), 702",28,2014,17999757186274503295,t7zJ5fGR-2UC
wwd3vdEAAAAJ,Visual methods for examining SVM classifiers,"D Caragea, D Cook, H Wickham, V Honavar",Visual Data Mining,136-153,28,2008,2985168881036507591,4JMBOYKVnBMC
wwd3vdEAAAAJ,Statistical machine learning for large-scale optimization,"S Baluja, A Barto, KD Boese, J Boyan, W Buntine, T Carson, R Caruana, ...",Neural Computing Surveys,"3, 1-58",27,2e3,3268200937857756361,QSG1pgF8pGAC
wwd3vdEAAAAJ,Spatial data analysis in the dynamically linked ArcView/XGobi/XploRe environment,"S Klinke, D Cook, DF Swayne","Humboldt University of Berlin, Interdisciplinary Research Project",373 …,27,1997,11923628231702537147,hqOjcs7Dif8C
wwd3vdEAAAAJ,Graphical tests for power comparison of competing designs,"H Hofmann, L Follett, M Majumder, D Cook",IEEE Transactions on Visualization and Computer Graphics,"18 (12), 2441-2448",26,2012,15666013876014293541,GnPB-g6toBAC
wwd3vdEAAAAJ,Visual data mining in atmospheric science data,"M Macêdo, D Cook, TJ Brown",Data Mining and Knowledge Discovery,"4 (1), 69-80",26,2e3,3299919496342160392,5nxA0vEk-isC
wwd3vdEAAAAJ,"User's manual for XGobi, a dynamic graphics program for data analysis implemented in the X window system (release 2)","DF Swayne, D Cook, A Buja","Bellcore, Nov",,26,1991,5020411123993584728,0EnyYjriUFMC
wwd3vdEAAAAJ,Spatial CDF Estimation and Visualization with Applications to Forest Healthmonitoring,"JJ Majure, D Cook, N Cressie, MS Kaiser, SN Lahiri, J Symanzik",Iowa State University. Department of Statistics. Statistical Laboratory,,23,1995,1207200097501774526,3fE2CSJIrl8C
wwd3vdEAAAAJ,Glyph‐maps for visually exploring temporal patterns in climate data and models,"H Wickham, H Hofmann, C Wickham, D Cook",Environmetrics,"23 (5), 382-393",22,2012,16804886872044996922,ns9cj8rnVeAC
wwd3vdEAAAAJ,"Grand tours, projection pursuit guided tours, and manual controls","D Cook, A Buja, EK Lee, H Wickham",Handbook of data visualization,295-314,22,2008,17284801415952327009,3s1wT3WcHBgC
wwd3vdEAAAAJ,"Grand tours, projection pursuit guided tours, and manual controls","D Cook, A Buja, EK Lee, H Wickham",Handbook of data visualization,295-314,22,2008,17284801415952327009,L8Ckcad2t8MC
wwd3vdEAAAAJ,Temporal pattern discovery in course-of-disease data,"JCG Ramirez, DJ Cook, LL Peterson, DM Peterson",IEEE Engineering in Medicine and Biology Magazine,"19 (4), 63-71",22,2e3,637920467116310692,LZ55yeyZZb4C
wwd3vdEAAAAJ,"User's Manual for XGobi, a Dynamic Graphics Program for Data Analysis","DF Swayne, D Cook, AB Bellcore",Implemented in the X Window System (Version,2). Bellcore Technical Memorandum,22,1991,7883239235398034440,MXK_kJrjxJIC
wwd3vdEAAAAJ,Exploring environmental data in a highly immersive virtual reality environment,"D Cook, C Cruz-Neira, BD Kohlmeyer, U Lechner, N Lewin, L Nelson, ...",Environmental Monitoring and Assessment,"51 (1-2), 441-450",21,1998,5732864877816287176,_kc_bZDykSQC
